ID,Link,Address,Sale Type,Sale Date,Price,Page Number
38dcc76e-a768-4ad5-b75a-e9d75a6291dd,/adresse/spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,,Fri handel,01-06-2005,510.000,8
b67c29ba-24f9-42d2-a4ef-d98ac87dddb9,/adresse/spaden-c-2-0-3-2630-taastrup-01697428___2_st___3,,"Spaden C 2, st. 3.2630 Taastrup",Tvangsauktion,19-08-1996,8
b8645afb-bb04-470b-a637-64a6d73c6ca8,/adresse/sommerfuglevej-9-2610-roedovre-01750800___9_______,,Sommerfuglevej 92610 Rødovre,Tvangsauktion,22-10-2014,8
b8645afb-bb04-470b-a637-64a6d73c6ca8,/adresse/sommerfuglevej-9-2610-roedovre-01750800___9_______,,Fri handel,09-07-1997,895.000,8
dcc40719-8cf6-4eac-8c85-4494d0f12c95,/adresse/sofielundsvej-19-2600-glostrup-01610427__19_______,,Sofielundsvej 192600 Glostrup,Tvangsauktion,25-11-2015,8
dcc40719-8cf6-4eac-8c85-4494d0f12c95,/adresse/sofielundsvej-19-2600-glostrup-01610427__19_______,,Fri handel,26-06-2004,2.000.000,8
d154bb46-5e3b-4d68-8a85-0135a91c6c3e,/adresse/snogegaardsvej-8k-1-tv-2820-gentofte-01570761__8k__1__tv,,"Snogegårdsvej 8K, 1. tv.2820 Gentofte",Tvangsauktion,11-01-2012,8
d154bb46-5e3b-4d68-8a85-0135a91c6c3e,/adresse/snogegaardsvej-8k-1-tv-2820-gentofte-01570761__8k__1__tv,,Fri handel,30-01-2007,1.490.000,8
d154bb46-5e3b-4d68-8a85-0135a91c6c3e,/adresse/snogegaardsvej-8k-1-tv-2820-gentofte-01570761__8k__1__tv,,Fri handel,26-09-1994,405.000,8
e7776686-68fb-4d7d-9016-2d72bdf38866,/adresse/snekketoften-1-2830-virum-01730742___1_______,,Snekketoften 12830 Virum,Tvangsauktion,25-05-2011,8
e7776686-68fb-4d7d-9016-2d72bdf38866,/adresse/snekketoften-1-2830-virum-01730742___1_______,,Andet,24-10-2001,3.040.000,8
5f928d5e-9e0d-47d5-97d0-3fa54fe38553,/adresse/smedevaenget-28-2640-hedehusene-01697065__28_______,,Smedevænget 282640 Hedehusene,Tvangsauktion,18-01-2017,9
5f928d5e-9e0d-47d5-97d0-3fa54fe38553,/adresse/smedevaenget-28-2640-hedehusene-01697065__28_______,,Fri handel,12-10-1995,157.000,9
5f928d5e-9e0d-47d5-97d0-3fa54fe38553,/adresse/smedevaenget-28-2640-hedehusene-01697065__28_______,,Fri handel,29-09-1995,1.584.300,9
f03ad1b9-c03e-4d12-a535-d95ebfa8c79b,/adresse/smedeengen-8-2635-ishoej-01830600___8_______,,Smedeengen 82635 Ishøj,Tvangsauktion,18-02-2014,9
2dba2b9f-5be7-468a-b863-b14beae3b795,/adresse/smakkegaardsvej-161-1-th-2820-gentofte-01570753_161__1__th,,"Smakkegårdsvej 161, 1. th.2820 Gentofte",Tvangsauktion,15-01-2014,9
2dba2b9f-5be7-468a-b863-b14beae3b795,/adresse/smakkegaardsvej-161-1-th-2820-gentofte-01570753_161__1__th,,Fri handel,28-03-2003,1.125.000,9
2dba2b9f-5be7-468a-b863-b14beae3b795,/adresse/smakkegaardsvej-161-1-th-2820-gentofte-01570753_161__1__th,,Fri handel,31-10-2002,925.000,9
59cf60b7-1ba4-4b5f-8ce2-41b0fc2088bb,/adresse/slotsvej-79-2920-charlottenlund-01570750__79_______,,Slotsvej 792920 Charlottenlund,Tvangsauktion,19-06-2013,9
3dd354e6-00c4-4821-8d44-864730b7eeba,/adresse/slotsvej-34b-2920-charlottenlund-01570750_34b_______,,Slotsvej 34B2920 Charlottenlund,Tvangsauktion,07-02-1992,9
d2f45ee8-35dc-4863-8f02-95033c51eeee,/adresse/slotsherrensvej-302-2610-roedovre-01750780_302_______,,Slotsherrensvej 3022610 Rødovre,Tvangsauktion,15-12-2006,9
d2f45ee8-35dc-4863-8f02-95033c51eeee,/adresse/slotsherrensvej-302-2610-roedovre-01750780_302_______,,Fri handel,13-05-2004,1.800.000,9
e2877833-8d60-4b7f-baff-4e116eaf5789,/adresse/slettebjergvej-2-1-tv-2750-ballerup-01510313___2__1__tv,,"Slettebjergvej 2, 1. tv.2750 Ballerup",Tvangsauktion,30-04-2014,9
e2877833-8d60-4b7f-baff-4e116eaf5789,/adresse/slettebjergvej-2-1-tv-2750-ballerup-01510313___2__1__tv,,Fri handel,24-01-2005,1.175.000,9
