Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Total Sales,City,Floor_Count,Heating_Type,Link,Living_Area,Roof_Type,Rooms,URL,Wall_Material,Weighted_Area
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Tvangsauktion,05-03-2024,3876000.0,3,Virum,1.0,Centralvarme med én fyringsenhed,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,205.0,Tegl,7.0,https://www.boligsiden.dk/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Mursten,240.25
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,2880,Villa,Tvangsauktion,25-02-2024,6066440.0,2,Bagsværd,1.0,Centralvarme med én fyringsenhed,/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,290.0,Tegl,4.0,https://www.boligsiden.dk/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,Mursten,49
emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730,Villa,Tvangsauktion,06-11-2023,3220000.0,2,Herlev,1.0,Centralvarme med én fyringsenhed,/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,183.0,Tagpap med stor hældning,6.0,https://www.boligsiden.dk/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,Mursten,196
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Tvangsauktion,19-10-2023,3050000.0,3,Hvidovre,1.0,Centralvarme med én fyringsenhed,/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,96.0,Fibercement herunder asbest,4.0,https://www.boligsiden.dk/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,Letbetonsten,101.9
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Tvangsauktion,19-10-2023,2155000.0,3,Vallensbæk Strand,1,Fjernvarme/blokvarme,/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,86.0,Tagpap med lille hældning,3.0,https://www.boligsiden.dk/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,Betonelementer,Ikke oplyst
nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,2650,Villa,Tvangsauktion,04-10-2023,3500000.0,2,Hvidovre,1.0,Centralvarme med én fyringsenhed,/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,132.0,Fibercement herunder asbest,6.0,https://www.boligsiden.dk/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,Mursten,137.55
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Tvangsauktion,18-09-2023,3000000.0,3,Hedehusene,1.0,Fjernvarme/blokvarme,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,Tegl,4.0,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Tvangsauktion,16-11-2022,2541500.0,3,Hedehusene,1.0,Fjernvarme/blokvarme,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,Tegl,4.0,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Tvangsauktion,22-06-2023,3128500.0,3,Hvidovre,1.0,Centralvarme med én fyringsenhed,/adresse/klardam-4-2650-hvidovre-01674719___4_______,62.0,Tegl,4.0,https://www.boligsiden.dk/adresse/klardam-4-2650-hvidovre-01674719___4_______,Mursten,89.05
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,3,Gentofte,1.0,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,Tegl,4.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,3,Gentofte,1.0,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,Tegl,4.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,3,Gentofte,1.0,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,Tegl,1.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,3,Gentofte,1.0,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,Tegl,1.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,3,Gentofte,1.0,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80.0,Tegl,3.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,3,Gentofte,1.0,Centralvarme med én fyringsenhed,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80.0,Tegl,3.0,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst
vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,2610,Villa,Tvangsauktion,30-05-2023,5325000.0,3,Rødovre,1.0,Centralvarme med én fyringsenhed,/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,172.0,Tegl,5.0,https://www.boligsiden.dk/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,Letbetonsten,200.8
aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,"Aldershvilevej 125, 2. th.",2880,Ejerlejlighed,Tvangsauktion,25-05-2023,2019946.0,3,Bagsværd,1,Fjernvarme/blokvarme,/adresse/aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,83.0,Fibercement herunder asbest,3.0,https://www.boligsiden.dk/adresse/aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,Mursten,Ikke oplyst
spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,"Spaden C 4, st. 2.",2630,Ejerlejlighed,Tvangsauktion,15-05-2023,884302.0,3,Taastrup,4.0,Fjernvarme/blokvarme,/adresse/spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,36.0,Tagpap med lille hældning,1.0,https://www.boligsiden.dk/adresse/spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,Betonelementer,Ikke oplyst
niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Niels Frederiksens Alle 6,2610,Villa,Tvangsauktion,15-03-2023,2962048.0,3,Rødovre,1.0,Centralvarme med én fyringsenhed,/adresse/niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,102.0,Fibercement herunder asbest,5.0,https://www.boligsiden.dk/adresse/niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Letbetonsten,112.2
ejbysvinget-60-2600-glostrup-01610099__60_______,Ejbysvinget 60,2600,Rækkehus,Tvangsauktion,07-02-2023,3910000.0,2,Glostrup,1.0,Centralvarme med én fyringsenhed,/adresse/ejbysvinget-60-2600-glostrup-01610099__60_______,131.0,Tegl,5.0,https://www.boligsiden.dk/adresse/ejbysvinget-60-2600-glostrup-01610099__60_______,Mursten,127.35
