Property_ID,Property Type,Sale Type,Sale Date,Raw Sale Type,Raw Sale Date,Raw Price,Total Sales,Address,City,floor_count,Heating_Type,Link,Living_Area,Postal_Code,Roof_Type,Rooms,Source_Site,URL,Wall_Material,Weighted_Area
parcelvej-114-2830-virum-01730640_114_______,Villa,Free Sale,30-10-1992,Fri handel,30-10-1992,860.000,3,Parcelvej 114,Virum,1,Centralvarme med én fyringsenhed,/adresse/parcelvej-114-2830-virum-01730640_114_______,113.0,2830.0,Tegl,4.0,boligsiden,https://www.boligsiden.dk/adresse/parcelvej-114-2830-virum-01730640_114_______,Mursten,145.55
baekkelunden-19-2660-broendby-strand-01530108__19_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,4.900.000,3,Bækkelunden 19,Brøndby Strand,1,Fjernvarme/blokvarme,/adresse/baekkelunden-19-2660-broendby-strand-01530108__19_______,182.0,2660.0,Betontagsten,6.0,boligsiden,https://www.boligsiden.dk/adresse/baekkelunden-19-2660-broendby-strand-01530108__19_______,Mursten,187.15
baekkelunden-19-2660-broendby-strand-01530108__19_______,Villa,Free Sale,25-01-2021,Fri handel,25-01-2021,4.695.000,3,Bækkelunden 19,Brøndby Strand,1,Fjernvarme/blokvarme,/adresse/baekkelunden-19-2660-broendby-strand-01530108__19_______,182.0,2660.0,Betontagsten,6.0,boligsiden,https://www.boligsiden.dk/adresse/baekkelunden-19-2660-broendby-strand-01530108__19_______,Mursten,187.15
baekkelunden-19-2660-broendby-strand-01530108__19_______,Villa,Free Sale,25-06-2002,Fri handel,25-06-2002,2.698.000,3,Bækkelunden 19,Brøndby Strand,1,Fjernvarme/blokvarme,/adresse/baekkelunden-19-2660-broendby-strand-01530108__19_______,182.0,2660.0,Betontagsten,6.0,boligsiden,https://www.boligsiden.dk/adresse/baekkelunden-19-2660-broendby-strand-01530108__19_______,Mursten,187.15
skovlunde-byvej-39-2740-skovlunde-01510656__39_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,3.200.000,2,Skovlunde Byvej 39,Skovlunde,1,Centralvarme med én fyringsenhed,/adresse/skovlunde-byvej-39-2740-skovlunde-01510656__39_______,116.0,2740.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/skovlunde-byvej-39-2740-skovlunde-01510656__39_______,Mursten,140.8
skovlunde-byvej-39-2740-skovlunde-01510656__39_______,Villa,Free Sale,05-07-2011,Fri handel,05-07-2011,1.405.000,2,Skovlunde Byvej 39,Skovlunde,1,Centralvarme med én fyringsenhed,/adresse/skovlunde-byvej-39-2740-skovlunde-01510656__39_______,116.0,2740.0,Tagpap med stor hældning,5.0,boligsiden,https://www.boligsiden.dk/adresse/skovlunde-byvej-39-2740-skovlunde-01510656__39_______,Mursten,140.8
baune-alle-2-0-j-2800-kongens-lyngby-01730050___2_st___j,Ejerlejlighed,Free Sale,30-04-2025,Fri handel,30-04-2025,3.400.000,2,"Baune Alle 2, st. j.",Kongens Lyngby,1,Fjernvarme/blokvarme,/adresse/baune-alle-2-0-j-2800-kongens-lyngby-01730050___2_st___j,87.0,2800.0,Metal,2.0,boligsiden,https://www.boligsiden.dk/adresse/baune-alle-2-0-j-2800-kongens-lyngby-01730050___2_st___j,Mursten,Ikke oplyst
baune-alle-2-0-j-2800-kongens-lyngby-01730050___2_st___j,Ejerlejlighed,Free Sale,04-02-2016,Fri handel,04-02-2016,2.295.000,2,"Baune Alle 2, st. j.",Kongens Lyngby,1,Fjernvarme/blokvarme,/adresse/baune-alle-2-0-j-2800-kongens-lyngby-01730050___2_st___j,87.0,2800.0,Metal,2.0,boligsiden,https://www.boligsiden.dk/adresse/baune-alle-2-0-j-2800-kongens-lyngby-01730050___2_st___j,Mursten,Ikke oplyst
roersoevej-8-2665-vallensbaek-strand-01876923___8_______,Villa,Free Sale,30-04-2025,Fri handel,30-04-2025,2.050.000,3,Rørsøvej 8,Vallensbæk Strand,1,Centralvarme med én fyringsenhed,/adresse/roersoevej-8-2665-vallensbaek-strand-01876923___8_______,108.0,2665.0,Betontagsten,4.0,boligsiden,https://www.boligsiden.dk/adresse/roersoevej-8-2665-vallensbaek-strand-01876923___8_______,Mursten,114.15
roersoevej-8-2665-vallensbaek-strand-01876923___8_______,Villa,Free Sale,02-02-2023,Fri handel,02-02-2023,5.550.000,3,Rørsøvej 8,Vallensbæk Strand,1,Centralvarme med én fyringsenhed,/adresse/roersoevej-8-2665-vallensbaek-strand-01876923___8_______,108.0,2665.0,Betontagsten,4.0,boligsiden,https://www.boligsiden.dk/adresse/roersoevej-8-2665-vallensbaek-strand-01876923___8_______,Mursten,114.15
