Property_ID,Address,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code,Price,Property_Type,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
tvaervej-22-1-tv-2640-hedehusene-01698878__22__1__tv,"Tværvej 22, 1. tv.",Hedehusene,N/A,1,Fjernvarme/blokvarme,2007,/adresse/tvaervej-22-1-tv-2640-hedehusene-01698878__22__1__tv,95,2640,2408000,Ejerlejlighed,Tagpap med stor hældning,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/tvaervej-22-1-tv-2640-hedehusene-01698878__22__1__tv,Mursten,Ikke oplyst
tvaervej-22-1-th-2640-hedehusene-01698878__22__1__th,"Tværvej 22, 1. th.",Hedehusene,N/A,1,Fjernvarme/blokvarme,2007,/adresse/tvaervej-22-1-th-2640-hedehusene-01698878__22__1__th,95,2640,2408000,Ejerlejlighed,Tagpap med stor hældning,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/tvaervej-22-1-th-2640-hedehusene-01698878__22__1__th,Mursten,Ikke oplyst
spaden-c-4-0-3-2630-taastrup-01697428___4_st___3,"Spaden C 4, st. 3.",Taastrup,N/A,4,Fjernvarme/blokvarme,2005,/adresse/spaden-c-4-0-3-2630-taastrup-01697428___4_st___3,57,2630,1394000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/spaden-c-4-0-3-2630-taastrup-01697428___4_st___3,Betonelementer,Ikke oplyst
greve-alle-57-2650-hvidovre-01672957__57_______,Greve Alle 57,Hvidovre,N/A,1,Fjernvarme/blokvarme,1978,/adresse/greve-alle-57-2650-hvidovre-01672957__57_______,117,2650,6601000,Villa,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/greve-alle-57-2650-hvidovre-01672957__57_______,Mursten,151.3
egholmsvej-5f-2830-virum-01730187__5f_______,Egholmsvej 5F,Virum,N/A,2,Varmepumpe,1982,/adresse/egholmsvej-5f-2830-virum-01730187__5f_______,212,2830,7898000,Rækkehus,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/egholmsvej-5f-2830-virum-01730187__5f_______,Mursten,Ikke oplyst
smedeengen-8-2635-ishoej-01830600___8_______,Smedeengen 8,Ishøj,N/A,1,Elvarme,1981,/adresse/smedeengen-8-2635-ishoej-01830600___8_______,103,2635,2204000,Rækkehus,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/smedeengen-8-2635-ishoej-01830600___8_______,Mursten,105
vejledalen-80-0-mf-2635-ishoej-01830854__80_st__mf,"Vejledalen 80, st. mf.",Ishøj,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejledalen-80-0-mf-2635-ishoej-01830854__80_st__mf,44,2635,976000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejledalen-80-0-mf-2635-ishoej-01830854__80_st__mf,Betonelementer,Ikke oplyst
smakkegaardsvej-161-1-th-2820-gentofte-01570753_161__1__th,"Smakkegårdsvej 161, 1. th.",Gentofte,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/smakkegaardsvej-161-1-th-2820-gentofte-01570753_161__1__th,67,2820,2444000,Ejerlejlighed,Tagpap med stor hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/smakkegaardsvej-161-1-th-2820-gentofte-01570753_161__1__th,Mursten,Ikke oplyst
vejlegaardsparken-2-0-2-2665-vallensbaek-strand-01879267___2_st___2,"Vejlegårdsparken 2, st. 2.",Vallensbæk Strand,N/A,6,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-2-0-2-2665-vallensbaek-strand-01879267___2_st___2,88,2665,2132000,Ejerlejlighed,Tagpap med lille hældning,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-2-0-2-2665-vallensbaek-strand-01879267___2_st___2,Betonelementer,Ikke oplyst
holmelins-tvaervej-8c-1-tv-2800-kongens-lyngby-01730347__8c__1__tv,"Holmelins Tværvej 8C, 1. tv.",Kongens Lyngby,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/holmelins-tvaervej-8c-1-tv-2800-kongens-lyngby-01730347__8c__1__tv,52,2800,1871000,Ejerlejlighed,Tegl,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/holmelins-tvaervej-8c-1-tv-2800-kongens-lyngby-01730347__8c__1__tv,Mursten,Ikke oplyst
espensstraede-10-2620-albertslund-01650095__10_______,Espensstræde 10,Albertslund,N/A,1,Fjernvarme/blokvarme,1984,/adresse/espensstraede-10-2620-albertslund-01650095__10_______,136,2620,4101000,Ejerlejlighed,Fibercement herunder asbest,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/espensstraede-10-2620-albertslund-01650095__10_______,Mursten,Ikke oplyst
gammelgaards-alle-7-0-3-2665-vallensbaek-strand-01871704___7_st___3,"Gammelgårds Alle 7, st. 3.",Vallensbæk Strand,N/A,6,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gammelgaards-alle-7-0-3-2665-vallensbaek-strand-01871704___7_st___3,49,2665,1308000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gammelgaards-alle-7-0-3-2665-vallensbaek-strand-01871704___7_st___3,Betonelementer,Ikke oplyst
molndalsparken-24-2620-albertslund-01650328__24_______,Mölndalsparken 24,Albertslund,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/molndalsparken-24-2620-albertslund-01650328__24_______,61,2620,1752000,Ejerlejlighed,Betontagsten,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/molndalsparken-24-2620-albertslund-01650328__24_______,Mursten,Ikke oplyst
selma-lagerloefs-alle-7-1-tv-2860-soeborg-01590734___7__1__tv,"Selma Lagerløfs Alle 7, 1. tv.",Søborg,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/selma-lagerloefs-alle-7-1-tv-2860-soeborg-01590734___7__1__tv,38,2860,1522000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/selma-lagerloefs-alle-7-1-tv-2860-soeborg-01590734___7__1__tv,Mursten,Ikke oplyst
leen-b-2-3-2-2630-taastrup-01694316___2__3___2,"Leen B 2, 3. 2.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/leen-b-2-3-2-2630-taastrup-01694316___2__3___2,98,2630,2477000,Ejerlejlighed,Tagpap med lille hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/leen-b-2-3-2-2630-taastrup-01694316___2__3___2,Betonelementer,Ikke oplyst
marbaek-park-2-1-3-2750-ballerup-01510622___2__1___3,"Marbæk Park 2, 1. 3.",Ballerup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/marbaek-park-2-1-3-2750-ballerup-01510622___2__1___3,77,2750,2496000,Ejerlejlighed,Tagpap med stor hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/marbaek-park-2-1-3-2750-ballerup-01510622___2__1___3,Mursten,Ikke oplyst
stroemsvej-14-2630-taastrup-01697754__14_______,Strømsvej 14,Taastrup,N/A,1,Elvarme,2000,/adresse/stroemsvej-14-2630-taastrup-01697754__14_______,105,2630,1875000,Fritidsbolig,Tagpap med stor hældning,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/stroemsvej-14-2630-taastrup-01697754__14_______,Træ,118.65
leen-a-3-2-1-2630-taastrup-01694314___3__2___1,"Leen A 3, 2. 1.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/leen-a-3-2-1-2630-taastrup-01694314___3__2___1,57,2630,1469000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/leen-a-3-2-1-2630-taastrup-01694314___3__2___1,Betonelementer,Ikke oplyst
roedvig-alle-6a-2650-hvidovre-01677019__6a_______,Rødvig Alle 6A,Hvidovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/roedvig-alle-6a-2650-hvidovre-01677019__6a_______,74,2650,5090000,Rækkehus,Tagpap med stor hældning,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/roedvig-alle-6a-2650-hvidovre-01677019__6a_______,Mursten,103.6
vejlebrovej-85-1-140-2635-ishoej-01830850__85__1_140,"Vejlebrovej 85, 1. 140.",Ishøj,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlebrovej-85-1-140-2635-ishoej-01830850__85__1_140,105,2635,2918000,Ejerlejlighed,Tagpap med lille hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlebrovej-85-1-140-2635-ishoej-01830850__85__1_140,Mursten,Ikke oplyst
hammeren-31-2-185-2630-taastrup-01692530__31__2_185,"Hammeren 31, 2. 185.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/hammeren-31-2-185-2630-taastrup-01692530__31__2_185,71,2630,1746000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hammeren-31-2-185-2630-taastrup-01692530__31__2_185,Betonelementer,Ikke oplyst
kratvaenget-21-2920-charlottenlund-01570486__21_______,Kratvænget 21,Charlottenlund,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/kratvaenget-21-2920-charlottenlund-01570486__21_______,227,2920,16538000,Villa,Tagpap med stor hældning,7,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kratvaenget-21-2920-charlottenlund-01570486__21_______,Mursten,276.6
vejlebrovej-62-3-mf-2635-ishoej-01830850__62__3__mf,"Vejlebrovej 62, 3. mf.",Ishøj,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlebrovej-62-3-mf-2635-ishoej-01830850__62__3__mf,36,2635,896000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlebrovej-62-3-mf-2635-ishoej-01830850__62__3__mf,Betonelementer,Ikke oplyst
augustvej-50-2860-soeborg-01590033__50_______,Augustvej 50,Søborg,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/augustvej-50-2860-soeborg-01590033__50_______,74,2860,3333000,Villa,Tegl,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/augustvej-50-2860-soeborg-01590033__50_______,Mursten,78.5
refmosevej-8-2640-hedehusene-01696199___8_______,Refmosevej 8,Hedehusene,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/refmosevej-8-2640-hedehusene-01696199___8_______,118,2640,3494000,Villa,Fibercement herunder asbest,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/refmosevej-8-2640-hedehusene-01696199___8_______,Mursten,169.15
virum-stationsvej-141b-1-tv-2830-virum-01730869141b__1__tv,"Virum Stationsvej 141B, 1. tv.",Virum,N/A,1,Centralvarme med én fyringsenhed,1982,/adresse/virum-stationsvej-141b-1-tv-2830-virum-01730869141b__1__tv,50,2830,1705000,Ejerlejlighed,Fibercement herunder asbest,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/virum-stationsvej-141b-1-tv-2830-virum-01730869141b__1__tv,Mursten,Ikke oplyst
mandholmen-12-2650-hvidovre-01675645__12_______,Mandholmen 12,Hvidovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/mandholmen-12-2650-hvidovre-01675645__12_______,121,2650,4900000,Rækkehus,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/mandholmen-12-2650-hvidovre-01675645__12_______,Mursten,149.4
roskildevej-378-0-1-2630-taastrup-01696362_378_st___1,"Roskildevej 378, st. 1.",Taastrup,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/roskildevej-378-0-1-2630-taastrup-01696362_378_st___1,49,2630,1372000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/roskildevej-378-0-1-2630-taastrup-01696362_378_st___1,Mursten,Ikke oplyst
slotsvej-79-2920-charlottenlund-01570750__79_______,Slotsvej 79,Charlottenlund,N/A,1,Centralvarme med én fyringsenhed,1975,/adresse/slotsvej-79-2920-charlottenlund-01570750__79_______,183,2920,11947000,Villa,Fibercement herunder asbest,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/slotsvej-79-2920-charlottenlund-01570750__79_______,Træ,192.8
daglykkevej-6-2650-hvidovre-01671523___6_______,Daglykkevej 6,Hvidovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/daglykkevej-6-2650-hvidovre-01671523___6_______,116,2650,5411000,Villa,Fibercement herunder asbest,6,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/daglykkevej-6-2650-hvidovre-01671523___6_______,Mursten,142.65
taastrup-have-30-0-th-2630-taastrup-01698960__30_st__th,"Taastrup Have 30, st. th.",Taastrup,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/taastrup-have-30-0-th-2630-taastrup-01698960__30_st__th,57,2630,1601000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/taastrup-have-30-0-th-2630-taastrup-01698960__30_st__th,Mursten,Ikke oplyst
saksen-c-4-2-4-2630-taastrup-01696640___4__2___4,"Saksen C 4, 2. 4.",Taastrup,N/A,4,Fjernvarme/blokvarme,2004,/adresse/saksen-c-4-2-4-2630-taastrup-01696640___4__2___4,57,2630,1345000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/saksen-c-4-2-4-2630-taastrup-01696640___4__2___4,Betonelementer,Ikke oplyst
bueparken-12-2750-ballerup-01510054__12_______,Bueparken 12,Ballerup,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/bueparken-12-2750-ballerup-01510054__12_______,160,2750,5224000,Villa,Fibercement herunder asbest,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/bueparken-12-2750-ballerup-01510054__12_______,Mursten,199.15
lindevang-12-2660-broendby-strand-01530386__12_______,Lindevang 12,Brøndby Strand,N/A,1,Varmepumpe,2013,/adresse/lindevang-12-2660-broendby-strand-01530386__12_______,250,2660,6494000,Villa,Tegl,8,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lindevang-12-2660-broendby-strand-01530386__12_______,Letbetonsten,254.5
soeborg-hovedgade-14-0-tv-2870-dyssegaard-01570821__14_st__tv,"Søborg Hovedgade 14, st. tv.",Dyssegård,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/soeborg-hovedgade-14-0-tv-2870-dyssegaard-01570821__14_st__tv,40,2870,1430000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/soeborg-hovedgade-14-0-tv-2870-dyssegaard-01570821__14_st__tv,Mursten,Ikke oplyst
gammel-koege-landevej-516-2650-hvidovre-01672807_516_______,Gammel Køge Landevej 516,Hvidovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/gammel-koege-landevej-516-2650-hvidovre-01672807_516_______,124,2650,4051000,Villa,Betontagsten,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gammel-koege-landevej-516-2650-hvidovre-01672807_516_______,Mursten,126.3
ishoej-bygade-90-2635-ishoej-01830290__90_______,Ishøj Bygade 90,Ishøj,N/A,1,Varmepumpe,1987,/adresse/ishoej-bygade-90-2635-ishoej-01830290__90_______,120,2635,2958000,Villa,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/ishoej-bygade-90-2635-ishoej-01830290__90_______,Mursten,133.8
kraghave-parkvej-10-2630-taastrup-01694060__10_______,Kraghave Parkvej 10,Taastrup,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/kraghave-parkvej-10-2630-taastrup-01694060__10_______,176,2630,4684000,Villa,Betontagsten,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kraghave-parkvej-10-2630-taastrup-01694060__10_______,Mursten,183
leen-c-1-0-2-2630-taastrup-01694318___1_st___2,"Leen C 1, st. 2.",Taastrup,N/A,4,Fjernvarme/blokvarme,2004,/adresse/leen-c-1-0-2-2630-taastrup-01694318___1_st___2,36,2630,909000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/leen-c-1-0-2-2630-taastrup-01694318___1_st___2,Betonelementer,Ikke oplyst
vejlebrovej-114-2-tv-2635-ishoej-01830850_114__2__tv,"Vejlebrovej 114, 2. tv.",Ishøj,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlebrovej-114-2-tv-2635-ishoej-01830850_114__2__tv,76,2635,1845000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlebrovej-114-2-tv-2635-ishoej-01830850_114__2__tv,Betonelementer,Ikke oplyst
kratkrogen-3-2920-charlottenlund-01570485___3_______,Kratkrogen 3,Charlottenlund,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/kratkrogen-3-2920-charlottenlund-01570485___3_______,200,2920,15582000,Villa,Betontagsten,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kratkrogen-3-2920-charlottenlund-01570485___3_______,Mursten,253.45
saven-a-2-2-1-2630-taastrup-01696690___2__2___1,"Saven A 2, 2. 1.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/saven-a-2-2-1-2630-taastrup-01696690___2__2___1,57,2630,1345000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/saven-a-2-2-1-2630-taastrup-01696690___2__2___1,Betonelementer,Ikke oplyst
tavlebakkevej-4-2605-broendby-01530691___4_______,Tavlebakkevej 4,Brøndby,N/A,1,Fjernvarme/blokvarme,1973,/adresse/tavlebakkevej-4-2605-broendby-01530691___4_______,141,2605,3691000,Villa,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/tavlebakkevej-4-2605-broendby-01530691___4_______,Mursten,139.5
nordre-ringvej-5-2-th-2600-glostrup-01610358___5__2__th,"Nordre Ringvej 5, 2. th.",Glostrup,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/nordre-ringvej-5-2-th-2600-glostrup-01610358___5__2__th,68,2600,2034000,Ejerlejlighed,Tegl,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/nordre-ringvej-5-2-th-2600-glostrup-01610358___5__2__th,Mursten,Ikke oplyst
jernbane-alle-51a-2630-taastrup-01693546_51a_______,Jernbane Alle 51A,Taastrup,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/jernbane-alle-51a-2630-taastrup-01693546_51a_______,145,2630,6046000,Villa,Betontagsten,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/jernbane-alle-51a-2630-taastrup-01693546_51a_______,Træ,148.25
topperne-28-0-4-2620-albertslund-01650532__28_st___4,"Topperne 28, st. 4.",Albertslund,N/A,4,Fjernvarme/blokvarme,1989,/adresse/topperne-28-0-4-2620-albertslund-01650532__28_st___4,49,2620,1274000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/topperne-28-0-4-2620-albertslund-01650532__28_st___4,Betonelementer,Ikke oplyst
merlegaardsvej-6-2635-ishoej-01830460___6_______,Merlegårdsvej 6,Ishøj,N/A,1,Varmepumpe,2020,/adresse/merlegaardsvej-6-2635-ishoej-01830460___6_______,265,2635,4354000,Villa,Betontagsten,6,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/merlegaardsvej-6-2635-ishoej-01830460___6_______,Mursten,284.5
gjoerdingvej-10-2760-maaloev-01510736__10_______,Gjørdingvej 10,Måløv,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/gjoerdingvej-10-2760-maaloev-01510736__10_______,160,2760,5107000,Villa,Fibercement herunder asbest,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gjoerdingvej-10-2760-maaloev-01510736__10_______,Mursten,167.4
ejgaardsvej-22--1-th-2920-charlottenlund-01570175__22_kl__th,"Ejgårdsvej 22, kl. th.",Charlottenlund,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/ejgaardsvej-22--1-th-2920-charlottenlund-01570175__22_kl__th,61,2920,2554000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/ejgaardsvej-22--1-th-2920-charlottenlund-01570175__22_kl__th,Mursten,Ikke oplyst
hyldemorsvej-40a-2730-herlev-01633397_40a_______,Hyldemorsvej 40A,Herlev,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/hyldemorsvej-40a-2730-herlev-01633397_40a_______,84,2730,3403000,Villa,Fibercement herunder asbest,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hyldemorsvej-40a-2730-herlev-01633397_40a_______,Mursten,123.6
broendbyvestervej-60a-1-2-2605-broendby-01530071_60a__1___2,"Brøndbyvestervej 60A, 1. 2.",Brøndby,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/broendbyvestervej-60a-1-2-2605-broendby-01530071_60a__1___2,46,2605,1289000,Ejerlejlighed,Metal,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/broendbyvestervej-60a-1-2-2605-broendby-01530071_60a__1___2,Mursten,Ikke oplyst
lille-bygade-11-2635-ishoej-01830400__11_______,Lille Bygade 11,Ishøj,N/A,1,Centralvarme med én fyringsenhed,2001,/adresse/lille-bygade-11-2635-ishoej-01830400__11_______,95,2635,2582000,Villa,Metal,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lille-bygade-11-2635-ishoej-01830400__11_______,Mursten,106.5
parcelvej-111-2830-virum-01730640_111_______,Parcelvej 111,Virum,N/A,1,Centralvarme med to fyringsenheder,Ikke oplyst,/adresse/parcelvej-111-2830-virum-01730640_111_______,199,2830,14234000,Villa,Betontagsten,6,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/parcelvej-111-2830-virum-01730640_111_______,Træ,256.5
plantevej-23-2-th-2870-dyssegaard-01570631__23__2__th,"Plantevej 23, 2. th.",Dyssegård,N/A,5,Fjernvarme/blokvarme,Ikke oplyst,/adresse/plantevej-23-2-th-2870-dyssegaard-01570631__23__2__th,57,2870,2037000,Ejerlejlighed,Tagpap med stor hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/plantevej-23-2-th-2870-dyssegaard-01570631__23__2__th,Mursten,Ikke oplyst
natsvaermervej-50-2610-roedovre-01750017__50_______,Natsværmervej 50,Rødovre,N/A,1,Centralvarme med én fyringsenhed,1966,/adresse/natsvaermervej-50-2610-roedovre-01750017__50_______,70,2610,3083000,Villa,Tegl,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/natsvaermervej-50-2610-roedovre-01750017__50_______,Mursten,72.75
roskildevej-346-2630-taastrup-01696362_346_______,Roskildevej 346,Taastrup,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/roskildevej-346-2630-taastrup-01696362_346_______,131,2630,3322000,Rækkehus,Tegl,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/roskildevej-346-2630-taastrup-01696362_346_______,Mursten,133.5
leen-b-1-3-1-2630-taastrup-01694316___1__3___1,"Leen B 1, 3. 1.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/leen-b-1-3-1-2630-taastrup-01694316___1__3___1,35,2630,830000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/leen-b-1-3-1-2630-taastrup-01694316___1__3___1,Betonelementer,Ikke oplyst
rybjerg-alle-84-2860-soeborg-01590702__84_______,Rybjerg Alle 84,Søborg,N/A,1,Fjernvarme/blokvarme,2001,/adresse/rybjerg-alle-84-2860-soeborg-01590702__84_______,124,2860,4463000,Villa,Tegl,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/rybjerg-alle-84-2860-soeborg-01590702__84_______,Mursten,129
gyngemose-parkvej-59-1-tv-2860-soeborg-01590259__59__1__tv,"Gyngemose Parkvej 59, 1. tv.",Søborg,N/A,7,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gyngemose-parkvej-59-1-tv-2860-soeborg-01590259__59__1__tv,85,2860,2873000,Ejerlejlighed,Tagpap med lille hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gyngemose-parkvej-59-1-tv-2860-soeborg-01590259__59__1__tv,Mursten,Ikke oplyst
hvidovrevej-180-1-115-2650-hvidovre-01674032_180__1_115,"Hvidovrevej 180, 1. 115.",Hvidovre,N/A,3,Fjernvarme/blokvarme,2007,/adresse/hvidovrevej-180-1-115-2650-hvidovre-01674032_180__1_115,47,2650,1847000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hvidovrevej-180-1-115-2650-hvidovre-01674032_180__1_115,Mursten,Ikke oplyst
albertslundvej-87-0-tv-2625-vallensbaek-01870106__87_st__tv,"Albertslundvej 87, st. tv.",Vallensbæk,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/albertslundvej-87-0-tv-2625-vallensbaek-01870106__87_st__tv,107,2625,2437000,Ejerlejlighed,Tagpap med lille hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/albertslundvej-87-0-tv-2625-vallensbaek-01870106__87_st__tv,Mursten,Ikke oplyst
saven-d-3-1-1-2630-taastrup-01696696___3__1___1,"Saven D 3, 1. 1.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/saven-d-3-1-1-2630-taastrup-01696696___3__1___1,57,2630,1353000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/saven-d-3-1-1-2630-taastrup-01696696___3__1___1,Betonelementer,Ikke oplyst
tjaereborgvej-33-2760-maaloev-01510803__33_______,Tjæreborgvej 33,Måløv,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/tjaereborgvej-33-2760-maaloev-01510803__33_______,195,2760,9469000,Villa,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/tjaereborgvej-33-2760-maaloev-01510803__33_______,Mursten,199.1
parkvej-153-1-th-2630-taastrup-01695738_153__1__th,"Parkvej 153, 1. th.",Taastrup,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/parkvej-153-1-th-2630-taastrup-01695738_153__1__th,76,2630,1923000,Ejerlejlighed,Betontagsten,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/parkvej-153-1-th-2630-taastrup-01695738_153__1__th,Mursten,Ikke oplyst
jernbanevej-6-1-a-2800-kongens-lyngby-01730387___6__1___a,"Jernbanevej 6, 1. a.",Kongens Lyngby,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/jernbanevej-6-1-a-2800-kongens-lyngby-01730387___6__1___a,79,2800,4278000,Ejerlejlighed,Fibercement uden asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/jernbanevej-6-1-a-2800-kongens-lyngby-01730387___6__1___a,Mursten,Ikke oplyst
