Property_ID,Address,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code,Price,Property_Type,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,Hedehusene,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114,2640,3441000,Villa,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,Hvidovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/klardam-4-2650-hvidovre-01674719___4_______,62,2650,4403000,Villa,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/klardam-4-2650-hvidovre-01674719___4_______,Mursten,89.05
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",Gentofte,N/A,1,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128,2820,10803000,Villalejlighed,Tegl,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",Gentofte,N/A,1,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18,2820,10803000,Villalejlighed,Tegl,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",Gentofte,N/A,1,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80,2820,10803000,Villalejlighed,Tegl,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst
vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,Rødovre,N/A,1,Centralvarme med én fyringsenhed,2019,/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,172,2610,6901000,Villa,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vaarfluevej-21-2610-roedovre-01750968__21_______,Letbetonsten,200.8
aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,"Aldershvilevej 125, 2. th.",Bagsværd,N/A,2,Fjernvarme/blokvarme,Ikke oplyst,/adresse/aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,83,2880,2776000,Ejerlejlighed,Fibercement herunder asbest,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,Mursten,Ikke oplyst
spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,"Spaden C 4, st. 2.",Taastrup,N/A,4,Fjernvarme/blokvarme,2005,/adresse/spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,36,2630,906000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,Betonelementer,Ikke oplyst
niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Niels Frederiksens Alle 6,Rødovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,102,2610,4795000,Villa,Fibercement herunder asbest,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Letbetonsten,112.2
ejbysvinget-60-2600-glostrup-01610099__60_______,Ejbysvinget 60,Glostrup,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/ejbysvinget-60-2600-glostrup-01610099__60_______,131,2600,4345000,Rækkehus,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/ejbysvinget-60-2600-glostrup-01610099__60_______,Mursten,127.35
jernbane-alle-6-2630-taastrup-01693546___6_______,Jernbane Alle 6,Taastrup,N/A,1,Fjernvarme/blokvarme,2016,/adresse/jernbane-alle-6-2630-taastrup-01693546___6_______,245,2630,4695000,Villa,Tegl,7,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/jernbane-alle-6-2630-taastrup-01693546___6_______,Mursten,247.6
ved-renden-47-2870-dyssegaard-01570920__47_______,Ved Renden 47,Dyssegård,N/A,1,Centralvarme med én fyringsenhed,1999,/adresse/ved-renden-47-2870-dyssegaard-01570920__47_______,145,2870,11235000,Villa,Tegl,6,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/ved-renden-47-2870-dyssegaard-01570920__47_______,Mursten,179.35
gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,"Gentoftegade 36, 3. mf.",Gentofte,N/A,5,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,47,2820,2132000,Ejerlejlighed,Tagpap med stor hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,Mursten,Ikke oplyst
