Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Fri handel,07-07-2004,1645000.0,3,3
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Fri handel,11-12-2006,2450000.0,3,3
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Fri handel,11-12-2006,2450000.0,3,3
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Fri handel,11-12-2006,2450000.0,3,3
vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,2610,Villa,Tvangsauktion,30-05-2023,5325000.0,1,3
vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,2610,Villa,Fri handel,06-11-2019,5150000.0,2,3
vaarfluevej-21-2610-roedovre-01750968__21_______,Vårfluevej 21,2610,Villa,Fri handel,18-10-2017,2850000.0,3,3
aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,"Aldershvilevej 125, 2. th.",2880,Ejerlejlighed,Tvangsauktion,25-05-2023,2019946.0,1,3
aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,"Aldershvilevej 125, 2. th.",2880,Ejerlejlighed,Fri handel,24-01-2017,1995000.0,2,3
aldershvilevej-125-2-th-2880-bagsvaerd-01590009_125__2__th,"Aldershvilevej 125, 2. th.",2880,Ejerlejlighed,Fri handel,01-08-2011,1550000.0,3,3
spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,"Spaden C 4, st. 2.",2630,Ejerlejlighed,Tvangsauktion,15-05-2023,884302.0,1,3
spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,"Spaden C 4, st. 2.",2630,Ejerlejlighed,Fri handel,29-04-2007,818000.0,2,3
spaden-c-4-0-2-2630-taastrup-01697428___4_st___2,"Spaden C 4, st. 2.",2630,Ejerlejlighed,Fri handel,01-06-2005,510000.0,3,3
niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Niels Frederiksens Alle 6,2610,Villa,Tvangsauktion,15-03-2023,2962048.0,1,3
niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Niels Frederiksens Alle 6,2610,Villa,Fri handel,12-05-2010,2100000.0,2,3
niels-frederiksens-alle-6-2610-roedovre-01750595___6_______,Niels Frederiksens Alle 6,2610,Villa,Fri handel,14-05-2003,1741850.0,3,3
ejbysvinget-60-2600-glostrup-01610099__60_______,Ejbysvinget 60,2600,Rækkehus,Tvangsauktion,07-02-2023,3910000.0,1,2
ejbysvinget-60-2600-glostrup-01610099__60_______,Ejbysvinget 60,2600,Rækkehus,Fri handel,03-11-2008,3275000.0,2,2
jernbane-alle-6-2630-taastrup-01693546___6_______,Jernbane Alle 6,2630,Villa,Tvangsauktion,12-01-2023,3725157.0,1,3
jernbane-alle-6-2630-taastrup-01693546___6_______,Jernbane Alle 6,2630,Villa,Familie handel,05-10-2016,1490566.0,2,3
jernbane-alle-6-2630-taastrup-01693546___6_______,Jernbane Alle 6,2630,Villa,Fri handel,04-09-2015,2175000.0,3,3
ved-renden-47-2870-dyssegaard-01570920__47_______,Ved Renden 47,2870,Villa,Tvangsauktion,02-11-2022,6920000.0,1,3
ved-renden-47-2870-dyssegaard-01570920__47_______,Ved Renden 47,2870,Villa,Fri handel,08-06-2015,5600000.0,2,3
ved-renden-47-2870-dyssegaard-01570920__47_______,Ved Renden 47,2870,Villa,Fri handel,31-03-1994,1252680.0,3,3
