ID,Link,Street,Postal_Code,City,Living_Area_M2,Num_Rooms,Num_Toilets,Sale_Price_DKK,Construction_Year,Built_Year,Num_Floors,Floor_Number,Heating_Type,Wall_Material,Weighted_Area,Roof_Type
fagerbo-57-2640-hedehusene-01691597__57_______,https://www.boligsiden.dk/adresse/fagerbo-57-2640-hedehusene-01691597__57_______,Fagerbo 57,2640,Hedehusene,109.0,4.0,2.0,1780000.0,2025,2025,1,1,Centralvarme med én fyringsenhed,Mursten,148.0,Fibercement herunder asbest
emtedalen-1b-2730-herlev-01631526__1b_______,https://www.boligsiden.dk/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730,Herlev,183.0,6.0,2.0,3220000.0,1973,1973,1,1,Centralvarme med én fyringsenhed,Mursten,196.0,Tagpap med stor hældning
topperne-28-0-4-2620-albertslund-01650532__28_st___4,https://www.boligsiden.dk/adresse/topperne-28-0-4-2620-albertslund-01650532__28_st___4,Topperne 28,2620,Albertslund,49.0,2.0,1.0,486800.0,1989,1989,4,1,Fjernvarme/blokvarme,Betonelementer,49.0,Fibercement herunder asbest
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,https://www.boligsiden.dk/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,Murskeen 2,2630,Taastrup,71.0,2.0,1.0,1435000.0,2025,2025,4,1,Fjernvarme/blokvarme,Betonelementer,71.0,Tagpap med lille hældning
gammel-koege-landevej-220b-1-th-2650-hvidovre-01672807220b__1__th,https://www.boligsiden.dk/adresse/gammel-koege-landevej-220b-1-th-2650-hvidovre-01672807220b__1__th,Gammel Køge Landevej 220B,2650,Hvidovre,57.0,2.0,1.0,,2025,2025,4,1,Centralvarme med én fyringsenhed,Mursten,57.0,Fibercement herunder asbest
digterparken-14-2750-ballerup-01510080__14_______,https://www.boligsiden.dk/adresse/digterparken-14-2750-ballerup-01510080__14_______,Digterparken 14,2750,Ballerup,137.0,5.0,2.0,3475000.0,2025,2025,1,1,Centralvarme med én fyringsenhed,Mursten,166.05,Fibercement herunder asbest
dalstroeget-78-0-2870-dyssegaard-01570133__78_st____,https://www.boligsiden.dk/adresse/dalstroeget-78-0-2870-dyssegaard-01570133__78_st____,Dalstrøget 78,2870,Dyssegård,49.0,,1.0,200000.0,2025,2025,7,1,Fjernvarme/blokvarme,Mursten,49.0,Andet materiale
vejlebrovej-82-2-th-2635-ishoej-01830850__82__2__th,https://www.boligsiden.dk/adresse/vejlebrovej-82-2-th-2635-ishoej-01830850__82__2__th,Vejlebrovej 82,2635,Ishøj,77.0,2.0,1.0,,2025,2025,5,1,Fjernvarme/blokvarme,Betonelementer,77.0,Tagpap med lille hældning
ejgaardsvej-22--1-th-2920-charlottenlund-01570175__22_kl__th,https://www.boligsiden.dk/adresse/ejgaardsvej-22--1-th-2920-charlottenlund-01570175__22_kl__th,Ejgårdsvej 22,2920,Charlottenlund,61.0,2.0,1.0,,2025,2025,3,1,Fjernvarme/blokvarme,Mursten,61.0,Fibercement herunder asbest
vejlebrovej-85-1-140-2635-ishoej-01830850__85__1_140,https://www.boligsiden.dk/adresse/vejlebrovej-85-1-140-2635-ishoej-01830850__85__1_140,Vejlebrovej 85,2635,Ishøj,105.0,4.0,1.0,1218000.0,2025,2025,4,1,Fjernvarme/blokvarme,Mursten,105.0,Tagpap med lille hældning
kratager-29-2620-albertslund-01650283__29_______,https://www.boligsiden.dk/adresse/kratager-29-2620-albertslund-01650283__29_______,Kratager 29,2620,Albertslund,200.0,6.0,2.0,2089000.0,2025,2025,1,1,Fjernvarme/blokvarme,Mursten,205.6,Tegl
strandvejen-141-1-th-2900-hellerup-01570802_141__1__th,https://www.boligsiden.dk/adresse/strandvejen-141-1-th-2900-hellerup-01570802_141__1__th,Strandvejen 141,2900,Hellerup,98.0,4.0,1.0,,1947,1947,3,1,Fjernvarme/blokvarme,Mursten,98.0,Tegl
buddinge-hovedgade-135b-1-th-2860-soeborg-01590086135b__1__th,https://www.boligsiden.dk/adresse/buddinge-hovedgade-135b-1-th-2860-soeborg-01590086135b__1__th,Buddinge Hovedgade 135B,2860,Søborg,83.0,3.0,1.0,,1974,1974,2,1,Fjernvarme/blokvarme,Mursten,83.0,Tagpap med stor hældning
augustvej-50-2860-soeborg-01590033__50_______,https://www.boligsiden.dk/adresse/augustvej-50-2860-soeborg-01590033__50_______,Augustvej 50,2860,Søborg,74.0,3.0,1.0,,2025,2025,1,1,Centralvarme med én fyringsenhed,Mursten,78.5,Tegl
giesegaardsvej-18a-2650-hvidovre-01672777_18a_______,https://www.boligsiden.dk/adresse/giesegaardsvej-18a-2650-hvidovre-01672777_18a_______,Giesegårdsvej 18A,2650,Hvidovre,71.0,2.0,2.0,910000.0,2025,2025,1,1,Fjernvarme/blokvarme,Mursten,101.6,Tagpap med stor hældning
