Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales,Address_details,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code_details,Price_details,Property_Type_details,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600,Villa,Fri handel,22-03-2024,2750000.0,2,3,Gerdasvej 51,Glostrup,N/A,1.0,Centralvarme med én fyringsenhed,1953,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,91.0,2600.0,3470000.0,Villa,Tagpap med stor hældning,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Mursten,126.6
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600,Villa,Tvangsauktion,27-01-2014,1400000.0,3,3,Gerdasvej 51,Glostrup,N/A,1.0,Centralvarme med én fyringsenhed,1953,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,91.0,2600.0,3470000.0,Villa,Tagpap med stor hældning,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Mursten,126.6
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Tvangsauktion,05-03-2024,3876000.0,1,3,Virum Overdrevsvej 26,Virum,N/A,1.0,Centralvarme med én fyringsenhed,2003,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,205.0,2830.0,10670000.0,Villa,Tegl,7.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Mursten,240.25
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Fri handel,26-05-2021,3100000.0,2,3,Virum Overdrevsvej 26,Virum,N/A,1.0,Centralvarme med én fyringsenhed,2003,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,205.0,2830.0,10670000.0,Villa,Tegl,7.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Mursten,240.25
virum-overdrevsvej-26-2830-virum-01730868__26_______,Virum Overdrevsvej 26,2830,Villa,Familie handel,05-03-2004,2350000.0,3,3,Virum Overdrevsvej 26,Virum,N/A,1.0,Centralvarme med én fyringsenhed,2003,/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,205.0,2830.0,10670000.0,Villa,Tegl,7.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/virum-overdrevsvej-26-2830-virum-01730868__26_______,Mursten,240.25
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,2880,Villa,Tvangsauktion,25-02-2024,6066440.0,1,2,Kildemosen 25,Bagsværd,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,290.0,2880.0,9495000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,Mursten,49
kildemosen-25-2880-bagsvaerd-01590410__25_______,Kildemosen 25,2880,Villa,Fri handel,27-10-2017,4695000.0,2,2,Kildemosen 25,Bagsværd,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,290.0,2880.0,9495000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/kildemosen-25-2880-bagsvaerd-01590410__25_______,Mursten,49
emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730,Villa,Tvangsauktion,06-11-2023,3220000.0,1,2,Emtedalen 1B,Herlev,N/A,1.0,Centralvarme med én fyringsenhed,1973,/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,183.0,2730.0,4990000.0,Villa,Tagpap med stor hældning,6.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,Mursten,196
emtedalen-1b-2730-herlev-01631526__1b_______,Emtedalen 1B,2730,Villa,Familie handel,16-12-1998,2200000.0,2,2,Emtedalen 1B,Herlev,N/A,1.0,Centralvarme med én fyringsenhed,1973,/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,183.0,2730.0,4990000.0,Villa,Tagpap med stor hældning,6.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/emtedalen-1b-2730-herlev-01631526__1b_______,Mursten,196
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Tvangsauktion,19-10-2023,3050000.0,1,3,Strandlyst Alle 55,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,96.0,2650.0,3460000.0,Villa,Fibercement herunder asbest,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,Letbetonsten,101.9
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Fri handel,24-08-2017,2735000.0,2,3,Strandlyst Alle 55,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,96.0,2650.0,3460000.0,Villa,Fibercement herunder asbest,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,Letbetonsten,101.9
strandlyst-alle-55-2650-hvidovre-01678005__55_______,Strandlyst Alle 55,2650,Villa,Familie handel,18-10-1999,465000.0,3,3,Strandlyst Alle 55,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,96.0,2650.0,3460000.0,Villa,Fibercement herunder asbest,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/strandlyst-alle-55-2650-hvidovre-01678005__55_______,Letbetonsten,101.9
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Tvangsauktion,19-10-2023,2155000.0,1,3,"Vejlegårdsparken 12, 2. 27.",Vallensbæk Strand,N/A,3.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,86.0,2665.0,2240000.0,Ejerlejlighed,Tagpap med lille hældning,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,Betonelementer,Ikke oplyst
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Fri handel,28-01-2022,2000000.0,2,3,"Vejlegårdsparken 12, 2. 27.",Vallensbæk Strand,N/A,3.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,86.0,2665.0,2240000.0,Ejerlejlighed,Tagpap med lille hældning,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,Betonelementer,Ikke oplyst
vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,"Vejlegårdsparken 12, 2. 27.",2665,Ejerlejlighed,Fri handel,16-01-2019,1630000.0,3,3,"Vejlegårdsparken 12, 2. 27.",Vallensbæk Strand,N/A,3.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,86.0,2665.0,2240000.0,Ejerlejlighed,Tagpap med lille hældning,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlegaardsparken-12-2-27-2665-vallensbaek-strand-01879267__12__2__27,Betonelementer,Ikke oplyst
nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,2650,Villa,Tvangsauktion,04-10-2023,3500000.0,1,2,Nordlundsvej 25,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,1980,/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,132.0,2650.0,4849000.0,Villa,Fibercement herunder asbest,6.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,Mursten,137.55
nordlundsvej-25-2650-hvidovre-01676033__25_______,Nordlundsvej 25,2650,Villa,Familie handel,31-03-1992,815000.0,2,2,Nordlundsvej 25,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,1980,/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,132.0,2650.0,4849000.0,Villa,Fibercement herunder asbest,6.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/nordlundsvej-25-2650-hvidovre-01676033__25_______,Mursten,137.55
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Tvangsauktion,18-09-2023,3000000.0,1,3,Hyrdevangen 15,Hedehusene,N/A,1.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,2640.0,3441000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Tvangsauktion,16-11-2022,2541500.0,2,3,Hyrdevangen 15,Hedehusene,N/A,1.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,2640.0,3441000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9
hyrdevangen-15-2640-hedehusene-01693167__15_______,Hyrdevangen 15,2640,Villa,Fri handel,18-03-2016,2400000.0,3,3,Hyrdevangen 15,Hedehusene,N/A,1.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,114.0,2640.0,3441000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hyrdevangen-15-2640-hedehusene-01693167__15_______,Mursten,149.9
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Tvangsauktion,22-06-2023,3128500.0,1,3,Klardam 4,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/klardam-4-2650-hvidovre-01674719___4_______,62.0,2650.0,4403000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/klardam-4-2650-hvidovre-01674719___4_______,Mursten,89.05
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Fri handel,11-09-2005,2350000.0,2,3,Klardam 4,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/klardam-4-2650-hvidovre-01674719___4_______,62.0,2650.0,4403000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/klardam-4-2650-hvidovre-01674719___4_______,Mursten,89.05
klardam-4-2650-hvidovre-01674719___4_______,Klardam 4,2650,Villa,Fri handel,07-07-2004,1645000.0,3,3,Klardam 4,Hvidovre,N/A,1.0,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/klardam-4-2650-hvidovre-01674719___4_______,62.0,2650.0,4403000.0,Villa,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/klardam-4-2650-hvidovre-01674719___4_______,Mursten,89.05
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3,"Lyngbyvej 365, st.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,2820.0,10803000.0,Villalejlighed,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3,"Lyngbyvej 365, st.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,2820.0,10803000.0,Villalejlighed,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst
lyngbyvej-365-0-2820-gentofte-01570527_365_st____,"Lyngbyvej 365, st.",2820,Villalejlighed,Fri handel,11-12-2006,2450000.0,3,3,"Lyngbyvej 365, st.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,128.0,2820.0,10803000.0,Villalejlighed,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-0-2820-gentofte-01570527_365_st____,Mursten,Ikke oplyst
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3,"Lyngbyvej 365, 1. 1.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,2820.0,10803000.0,Villalejlighed,Tegl,1.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3,"Lyngbyvej 365, 1. 1.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,2820.0,10803000.0,Villalejlighed,Tegl,1.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst
lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,"Lyngbyvej 365, 1. 1.",2820,Villalejlighed,Fri handel,11-12-2006,2450000.0,3,3,"Lyngbyvej 365, 1. 1.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,18.0,2820.0,10803000.0,Villalejlighed,Tegl,1.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-1-2820-gentofte-01570527_365__1___1,Mursten,Ikke oplyst
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Tvangsauktion,14-06-2023,4186000.0,1,3,"Lyngbyvej 365, 1.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80.0,2820.0,10803000.0,Villalejlighed,Tegl,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst
lyngbyvej-365-1-2820-gentofte-01570527_365__1____,"Lyngbyvej 365, 1.",2820,Villalejlighed,Tvangsauktion,08-07-2009,3300000.0,2,3,"Lyngbyvej 365, 1.",Gentofte,N/A,1.0,Centralvarme med én fyringsenhed,1966,/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,80.0,2820.0,10803000.0,Villalejlighed,Tegl,3.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lyngbyvej-365-1-2820-gentofte-01570527_365__1____,Mursten,Ikke oplyst
